Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4275125,000000FD,false,Rx,0,8,DC,D2,1F,80,00,00,03,00,
4295344,000000FD,false,Rx,0,8,A9,D3,1F,80,00,00,03,00,
4315338,000000FD,false,Rx,0,8,3F,D4,1F,80,00,00,03,00,
4335546,000000FD,false,Rx,0,8,A5,D5,1F,80,00,00,03,00,
4354159,000000FD,false,Rx,0,8,B7,D6,1F,80,00,00,03,00,
4374204,000000FD,false,Rx,0,8,8D,D7,1F,80,00,00,03,00,
4394247,000000FD,false,Rx,0,8,4A,D8,1F,80,00,00,03,00,
4414360,000000FD,false,Rx,0,8,78,D9,1F,80,00,00,03,00,
4434321,000000FD,false,Rx,0,8,34,DA,1F,80,00,00,03,00,
4454404,000000FD,false,Rx,0,8,1B,DB,1F,80,00,00,03,00,
4474423,000000FD,false,Rx,0,8,82,DC,1F,80,00,00,03,00,
4494443,000000FD,false,Rx,0,8,0B,DD,1F,80,00,00,03,00,
4514555,000000FD,false,Rx,0,8,F4,DE,1F,80,00,00,03,00,
4534536,000000FD,false,Rx,0,8,63,DF,1F,80,00,00,03,00,
4554633,000000FD,false,Rx,0,8,19,D0,1F,80,00,00,03,00,
4574587,000000FD,false,Rx,0,8,13,D1,1F,80,00,00,03,00,
4594681,000000FD,false,Rx,0,8,DC,D2,1F,80,00,00,03,00,
4614687,000000FD,false,Rx,0,8,A9,D3,1F,80,00,00,03,00,
4634768,000000FD,false,Rx,0,8,3F,D4,1F,80,00,00,03,00,
4654853,000000FD,false,Rx,0,8,A5,D5,1F,80,00,00,03,00,
4674956,000000FD,false,Rx,0,8,B7,D6,1F,80,00,00,03,00,
4694917,000000FD,false,Rx,0,8,8D,D7,1F,80,00,00,03,00,
4715165,000000FD,false,Rx,0,8,4A,D8,1F,80,00,00,03,00,
4735008,000000FD,false,Rx,0,8,78,D9,1F,80,00,00,03,00,
4755084,000000FD,false,Rx,0,8,34,DA,1F,80,00,00,03,00,
4775150,000000FD,false,Rx,0,8,1B,DB,1F,80,00,00,03,00,
4795068,000000FD,false,Rx,0,8,82,DC,1F,80,00,00,03,00,
4815479,000000FD,false,Rx,0,8,0B,DD,1F,80,00,00,03,00,
4835223,000000FD,false,Rx,0,8,F4,DE,1F,80,00,00,03,00,
4855164,000000FD,false,Rx,0,8,63,DF,1F,80,00,00,03,00,
4875250,000000FD,false,Rx,0,8,19,D0,1F,80,00,00,03,00,
4895347,000000FD,false,Rx,0,8,13,D1,1F,80,00,00,03,00,
4915664,000000FD,false,Rx,0,8,DC,D2,1F,80,00,00,03,00,
4935507,000000FD,false,Rx,0,8,A9,D3,1F,80,00,00,03,00,
4955560,000000FD,false,Rx,0,8,3F,D4,1F,80,00,00,03,00,
4975593,000000FD,false,Rx,0,8,A5,D5,1F,80,00,00,03,00,
4995540,000000FD,false,Rx,0,8,B7,D6,1F,80,00,00,03,00,
5016362,000000FD,false,Rx,0,8,8D,D7,1F,80,00,00,03,00,
5035661,000000FD,false,Rx,0,8,4A,D8,1F,80,00,00,03,00,
5055692,000000FD,false,Rx,0,8,78,D9,1F,80,00,00,03,00,
5079129,000000FD,false,Rx,0,8,34,DA,1F,80,00,00,03,00,
5095797,000000FD,false,Rx,0,8,1B,DB,1F,80,00,00,03,00,
5116692,000000FD,false,Rx,0,8,82,DC,1F,80,00,00,03,00,
5137408,000000FD,false,Rx,0,8,0B,DD,1F,80,00,00,03,00,
5156491,000000FD,false,Rx,0,8,F4,DE,1F,80,00,00,03,00,
5179374,000000FD,false,Rx,0,8,63,DF,1F,80,00,00,03,00,
